progression_type,display_order,rank_group,rank_name,minimum_experience,maximum_experience,best_ranking,worst_ranking
SEASON_GRADE,11,부사관,특전중사 3호봉,366011,416011,,
SEASON_GRADE,12,부사관,특전중사 4호봉,416012,466012,,
SEASON_GRADE,13,부사관,특전중사 5호봉,466013,526013,,
SEASON_GRADE,14,부사관,특전상사 1호봉,526014,576014,,
SEASON_GRADE,15,부사관,특전상사 2호봉,576015,626015,,
SEASON_GRADE,16,부사관,특전상사 3호봉,626016,676016,,
SEASON_GRADE,17,부사관,특전상사 4호봉,676017,726017,,
SEASON_GRADE,18,부사관,특전상사 5호봉,726018,846018,,
SEASON_GRADE,19,위관,특임소위 1호봉,846019,946019,,
SEASON_GRADE,20,위관,특임소위 2호봉,946020,1046020,,
SEASON_GRADE,21,위관,특임소위 3호봉,1046021,1146021,,
SEASON_GRADE,22,위관,특임소위 4호봉,1146022,1246022,,
SEASON_GRADE,23,위관,특임소위 5호봉,1246023,1426023,,
SEASON_GRADE,24,위관,특임중위 1호봉,1426024,1576024,,
SEASON_GRADE,25,위관,특임중위 2호봉,1576025,1726025,,
SEASON_GRADE,26,위관,특임중위 3호봉,1726026,1876026,,
SEASON_GRADE,27,위관,특임중위 4호봉,1876027,2026027,,
SEASON_GRADE,28,위관,특임중위 5호봉,2026028,2206028,,
SEASON_GRADE,29,위관,특임대위 1호봉,2206029,2356029,,
SEASON_GRADE,30,위관,특임대위 2호봉,2356030,2506030,,
SEASON_GRADE,31,위관,특임대위 3호봉,2506031,2656031,,
SEASON_GRADE,32,위관,특임대위 4호봉,2656032,2806032,,
SEASON_GRADE,33,위관,특임대위 5호봉,2806033,3106033,,
SEASON_GRADE,34,영관,특공소령 1호봉,3106034,3356034,,
SEASON_GRADE,35,영관,특공소령 2호봉,3356035,3606035,,
SEASON_GRADE,36,영관,특공소령 3호봉,3606036,3856036,,
SEASON_GRADE,37,영관,특공소령 4호봉,3856037,4106037,,
SEASON_GRADE,38,영관,특공소령 5호봉,4106038,4586038,,
SEASON_GRADE,39,영관,특공중령 1호봉,4586039,4986039,,
SEASON_GRADE,40,영관,특공중령 2호봉,4986040,5386040,,
SEASON_GRADE,41,영관,특공중령 3호봉,5386041,5786041,,
SEASON_GRADE,42,영관,특공중령 4호봉,5786042,6186042,,
SEASON_GRADE,43,영관,특공중령 5호봉,6186043,6906043,,
SEASON_GRADE,44,영관,특공대령 1호봉,6906044,7506044,,
SEASON_GRADE,45,영관,특공대령 2호봉,7506045,8106045,,
SEASON_GRADE,46,영관,특공대령 3호봉,8106046,8706046,,
SEASON_GRADE,47,영관,특공대령 4호봉,8706047,9306047,,
SEASON_GRADE,48,영관,특공대령 5호봉,9306048,10306048,,
SEASON_GRADE,49,장성,특급준장,10306049,11986049,,
SEASON_GRADE,50,장성,특급소장,11986050,14806050,,
SEASON_GRADE,51,장성,특급중장,14806051,19556051,,
SEASON_GRADE,52,장성,특급대장,19556052,,1001,
SEASON_GRADE,53,장성,부사령관,,,101,1000
SEASON_GRADE,54,장성,사령관,,,11,100
SEASON_GRADE,55,장성,총사령관,,,1,10
